Order,Name,Total
1.,"Натрия хлорид 0,9%, 200 мл, фл","308,00"
2.,"Борный спирт 3%, 20 мл, фл.","51,00"
3.,"Шприц 2 мл, 3-х комп. (Bioject)","32,00"
4.,Система для инфузии Vogt Medical,"120,00"
5.,Naturella прокладки Классик макси №8,"310,00"
6.,AURA Ватные диски №150,"461,00"
7.,Чистая линия скраб мягкий 50 мл,"381,00"
8.,Чистая линия  скраб очищающийабрикос 50 мл,"386,00"
9.,Чистая линия скраб мягкий 50 мл,"381,00"
10.,Carefree салфетки Алоэвоздухопроницаемые №20,"414,00"
11.,Pro Series Шампунь яркий цвет 500мл,"841,00"
12.,Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,"841,00"
13.,Clear шампунь Актив спорт 2в1мужской  400 мл,"1 200,00"
14.,"Bio World (HYDRO THERAPY)Мицеллярная вода 5в1, 445мл","1 152,00"
15.,"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл","1 152,00"
16.,"[RX]-Натрия хлорид 0,9%, 100 мл, фл.","168,00"
17.,"[RX]-Дисоль р-р 400 мл, фл.","163,00"
18.,"Тагансорбент с иономи серебра №30,пор.","1 526,00"
19.,"[RX]-Церукал 2%, 2 мл, №10, амп.","792,00"
20.,"[RX]-Андазол 200 мг, №40, табл.","7 330,00"
